Model,MAE,RMSE,R2
Linear Regression,0.055793482392297596,0.07708868785145973,0.26914395493361154
Polynomial Regression,0.056237566913354985,0.07907947841256932,0.23090829236617672
Random Forest,2.8172743048775894e-05,8.418063687689875e-05,0.9999991284848306
Neural Network,0.007449017485819647,0.010378527608299803,0.9834737194083518
