x,Phi_Newton,Phi_GR,Difference,Relative_Error_Percent
1.01,-0.49504950495049505,-0.4502481404895005,0.04480136446099453,9.950371902099898
1.0104642702954316,-0.4948220483380515,-0.4491180205674518,0.045704027770599676,10.176395886509638
1.010928754003643,-0.4945946962333591,-0.4480129642764617,0.04658173195689741,10.397407144707662
1.0113934512227336,-0.4943674485884008,-0.446931405654572,0.047436042933828804,10.613718869085599
1.0118583620508494,-0.49414030535518094,-0.44587193590742846,0.04826836944775248,10.825612818514308
1.0123234865861805,-0.49391326648572653,-0.4448332821609194,0.04907998432480715,11.033343567816123
1.0127888249269625,-0.4936863319320862,-0.4438142897708244,0.04987204216126184,11.237142045835125
1.0132543771714762,-0.4934595016463309,-0.4428139074876194,0.050645594158711504,11.437218502476123
1.0137201434180472,-0.49323277558055334,-0.4418311749325867,0.05140160064796662,11.633765013482654
1.0141861237650471,-0.49300615368686823,-0.44086521195974504,0.05214094172712319,11.826957608050991
1.0146523183108918,-0.4927796359174127,-0.439915209567698,0.05286442634971472,12.016958086460406
1.015118727154043,-0.49255322222434544,-0.43898042209399285,0.053572800130352594,12.203915581201429
1.0155853503930072,-0.49232691255984734,-0.43806016047747354,0.054266752082373804,12.387967904505294
1.0160521881263371,-0.492100706876121,-0.43715378641525415,0.054946920460866855,12.56924271694917
1.0165192404526295,-0.49187460512539144,-0.43626070727326605,0.055613897852125393,12.74785854534679
1.0169865074705275,-0.49164860725990517,-0.43538037163487076,0.05626823562503441,12.923925673025849
1.017453989278719,-0.4914227132319308,-0.43451226539240656,0.05691044783952426,13.097546921518688
1.0179216859759375,-0.4911969229937591,-0.4336559083028455,0.057541014690913606,13.268818339430899
1.0183895976609616,-0.4909712364977024,-0.43281085094192073,0.05816038555578168,13.437829811615853
1.0188577244326158,-0.49074565369609513,-0.43197667200178724,0.05876898169430789,13.604665599642551
1.0193260663897694,-0.49052017454129365,-0.4311529758860038,0.05936719865528983,13.769404822799236
1.0197946236313378,-0.49029479898567613,-0.4303393905628013,0.059955408422874834,13.932121887439742
1.0202633962562813,-0.49006952698164263,-0.42953556564351997,0.060533961338122666,14.092886871296006
1.0207323843636062,-0.489844358481615,-0.4287411706579985,0.06110318782361651,14.251765868400302
1.0212015880523637,-0.48961929343803734,-0.42795589350279006,0.061663399935247276,14.408821299441984
1.0216710074216513,-0.489394331803375,-0.42717943904148703,0.06221489276188796,14.564112191702595
1.0221406425706114,-0.48916947353011553,-0.4264115278393264,0.06275794569078913,14.71769443213472
1.0226104935984321,-0.48894471857076843,-0.4256518950166463,0.06329282355412214,14.86962099667074
1.0230805606043476,-0.4887200668778646,-0.42490028920782924,0.06381977767003538,15.019942158434151
1.0235508436876368,-0.4884955184039573,-0.42415647161410963,0.06433904678984764,15.168705677178071
1.0240213429476253,-0.48827107310162093,-0.4234202151400937,0.06485085796152723,15.31595697198126
1.0244920584836834,-0.4880467309234523,-0.4226913036051322,0.06535542731832011,15.461739278973564
1.0249629903952275,-0.4878224918220697,-0.42196953102175316,0.06585296080031655,15.606093795649368
1.02543413878172,-0.4875983557501131,-0.42125470093431966,0.06634365481579346,15.749059813136068
1.0259055037426685,-0.4873743226602445,-0.42054662581187785,0.06682769684836665,15.890674837624433
1.0263770853776264,-0.4871503925051475,-0.4198451264898619,0.06730526601528564,16.030974702027624
1.0268488837861935,-0.48692656523752725,-0.4191500316559346,0.06777653358159264,16.169993668813078
1.0273208990680143,-0.4867028408101111,-0.41846117737577737,0.06824166343433374,16.307764524844526
1.0277931313227802,-0.4864792191756477,-0.4177784066550875,0.0687008125205602,16.444318668982508
1.0282655806502277,-0.4862557002869075,-0.41710156903447304,0.06915413125243447,16.57968619310539
1.0287382471501392,-0.48603228409668287,-0.41643052021426386,0.06960176388241901,16.713895957147226
1.0292111309223435,-0.48580897055778755,-0.41576512170658625,0.0700438488512013,16.84697565868275
1.0296842320667148,-0.48558575962305717,-0.41510524051231773,0.07048051911073944,16.978951897536454
1.030157550683173,-0.48536265124534916,-0.41445074882077915,0.07091190242457002,17.10985023584417
1.0306310868716848,-0.4851396453775422,-0.4138015237302369,0.0713381216473053,17.239695253952625
1.031104840732262,-0.4849167419725368,-0.41315744698748436,0.07175929498505246,17.368510602503125
1.031578812364963,-0.48469394098325536,-0.4125184047449275,0.07217553623832784,17.496319051014495
